学校-老师	课程名称	课程内容与评价,,,,,,
"评价：赞！ 同时企业信息化的例子或许可以剖析得更深入些，但这可能会涉及商业机密，可以理解~ 谢谢老师们~""",,,,,,
"1001255001-福建师范大学-吕若涵	文采风流：近现代闽籍文人与作家	""概述：这是一门以介绍近现代闽籍文人、品鉴其文学创作为主要内容的大学通识课程，同时也是一门以展示近代福建历史人物风韵与地方文化风采为主要内容的人文教育课程。本课程通过选择若干具有地域特色、较高文学成就的文人、知识分子和作家进行讲解，旨在增强学生对近现代中国转型时期的文学与人文特征的了解与掌握，帮助学生建立起史的意识，并在这个过程中突出地方性。",,,,,,
"评价：中国大学MOOC的老师上课时备课充分，语言流畅，思路清晰，课堂上对闽籍文人特点分析很全面，课堂互动讨论时间充足，让我们这些学生可以畅所欲言，网课让我们学习空间变得更多样化，给太多收获，我很喜欢。""",,,,,,
"8013-同济大学-顾祥林	混凝土结构基本原理	""概述：土木工程是同济大学特色和强势学科。长期以来该专业培养了大批土木工程人才，为国家的建设做出了重要的贡献。“混凝土结构基本原理”是土木工程专业本科生重要专业基础课，也是同济大学传统品牌课。经过几代学者的不断努力，课程教学内容不断完善，教学设备不断更新，教学方法不断改进。",,,,,,
"评价：强烈盼望顾老师把中册混凝土结构设计也讲了！""",,,,,,
"98001-西南大学-李先源	观赏植物分类学	""概述：观赏植物美化环境，愉悦心情。满山的红叶、风中的垂柳、雨中的芭蕉、雾中迷离的翠竹、雪中的苍松翠柏……美不胜收。本课程介绍了植物识别与鉴定的基本方法、观赏植物主要科属的鉴别特征、生活中常见的观赏植物。来吧，让我们一起走进神奇与奥妙的植物世界，去认识缤纷而美丽的观赏植物。",,,,,,
"评价：植物学入门必学课程 墙裂推荐！！！主讲老师的口头禅：同学们好rua！哈哈哈哈哈哈哈哈哈哈哈哈哈 暗搓搓插一句：完爆帝都林业大学""",,,,,,
"9014-四川大学-吴敏	女性学：女性精神在现代社会中的挑战	""概述：女性是什么？是柔情似水？还是热情如火？在男性眼中，她可以是一首诗，温婉动人；也可以是一幅画，仪态万千。在社会的仪式中，她是母亲、爱人、姐妹。然而女性会怎样描述自己，在一个时间的车轮疾驰的时代，她的灵魂应当安置何处？这就是我们讨论的话题。",,,,,,
"评价：现在很多女性对自己的定位很模糊，新旧思想矛盾冲突！一些受过高等教育的女性在家庭和事业间也存在矛盾！主要还是独立意识不够，传统的依附意识及社会舆论对女性的束缚！""",,,,,,
"1001338001-宁波大学-尹维刚	人体骨与关节解剖学	""概述：宁波大学“人体解剖学”课程是国家级精品课程和首批国家级精品资源共享课程。课程负责人为浙江省教学名师，国家级“临床医学专业基础核心课程”教学团队主要成员。“人体骨与关节解剖学”是人体解剖学的重要组成部分，是一门研究正常人体骨与关节形态构造的科学",是学习人体解剖学后续内容的基础。,,,,,
"评价：本课程的课程内容精简完整，尹老师讲课也是尽心尽力、清楚明了，尤其是每个视频的时间都不长，可以使我充分地利用起自己的碎片时间，随时随地学习解剖学。""",,,,,,
"8006-湖南大学-胡志雯	国际交流实用英文写作	""概述：写作看似枯燥，但我们的课程让它变得生动！从通用到实用，我们的课程将为您搭起一道桥梁，助您通往成功的国际交流平台。让我们一同开启愉快的学习之旅吧！ （湖南大学外语慕课系列：国际交流实用英文写作，国际交流学术英文写作，国际交流英文演讲与辩论等。系列慕课总负责：刘正光 稂建中）",,,,,,
"评价：第一堂课，学到了写应用文的一些基本要素，老师讲课很有逻辑，而且配有字幕，很适合学生学习。""",,,,,,
"9007-西安交通大学-徐纪茹	医学微生物学	""概述：发现微观世界的奥秘；揭示病原微生物的性状；探索传染性疾病的防治。 本课程阐述微生物学基本理论，着重于病原微生物的生物学性状、致病机制、诊断和防治原则。在讲解经典内容的同时适当介绍医学微生物学研究的新内容、新进展及新发传染病。",,,,,,
"评价：讲球菌的老师只会念 ppt ，ppt还都是照着书打的，这样讲课有什么意义吗？我还不如直接看书呢""",,,,,,
"9021-西北农林科技大学-仵均祥	农业昆虫学	""概述：农业害虫防治是农业生产中必不可少的一个环节，自古以来，蝗灾就与水灾、旱灾并列为农业生产中的三大自然灾害。对农业昆虫学进行研究，就是要在认识虫灾发生规律的基础上，利用现有技术进行科学防治，最终保障粮食丰产丰收，保护国家粮食安全。",,,,,,
"评价：两位老师从农业昆虫的发生规律，危害特点，越冬规律等各方面进行阐述，深入浅出，娓娓道来，令我受益匪浅""",,,,,,
"9019-中南大学-吴争春	中国近现代史纲要	""概述：中国近现代史是距离我们最近的一段历史，是对当代中国社会影响最大的一段历史，是深刻理解当代中国的一把钥匙。了解历史，即理解现实！让我们回望这段历史，从历史中获得智慧，以观照现实中的政治、社会和人生。",,,,,,
"评价：吴争春老师、王翔老师讲的真好！听老师们讲中国近现代史脉络清晰、条分缕析、信手拈来、滔滔不绝，学生如沐春风、获益良多，佩服的五体投地，决心以大历史的眼光去芜存菁、自净己心，不断涤荡自己的思想和灵魂。衷心感谢中南大学老师们的谆谆教诲！""",,,,,,
"35001-西南交通大学-郭进	高速铁路信号系统	""概述：高速铁路信号系统是高速铁路中枢神经，对保障高速铁路运行速度、运行效率及运行安全具有重要的关键作用。“高速铁路信号系统”是一门集中介绍高速铁路信号技术的专业课，学生可以通过学习该课程来了解、掌握高速铁路信号技术的基本方法、基本理论与系统结构。",,,,,,
"评价：对工作较有帮助，但是，不能完全符合工作所需。建议开设驼峰铁路信号课程。""",,,,,,
"1001380001-云南师范大学-韩越	东南亚南亚商务	""概述：朋友，您想到东南亚南亚国家开展贸易与投资吗？无论您对东南亚南亚国家是否了解、无论您对东南亚南亚的商务实践是否在行，我们都诚挚地邀请您和我们一起，沿着2000多年的古道痕迹，聆听穿越历史的驼铃声，去感受不一样的商务之旅。欢迎走进东南亚南亚商务。",,,,,,
"评价：真的好喜欢韩老师的课 从学校课堂追到慕课 每一次课都会有满满的收获 棒棒哒""",,,,,,
"102001-浙江财经大学-叶舟	ERP模拟演练	""概述：开一个公司赚钱是不是和马云说的一样容易？一个亿的小目标能不能实现？为什么我经营一个企业就会一直亏损？到底怎样才能盈利？你是否能理解老板为什么要做某个决策？ 来参加我们的课程，亲自体会这些问题的答案。",,,,,,
"评价：对于本次课程，我们小组的各个成员都倾注了不少心血，每个人都对自己所担任的角色有着充分的理解，在实践中摸索，在探索中求知，最后也都尽职尽责完成了自己应该完成的任务，各自都或多或少有些收获。从结果而言，两次模拟的最后结果都不及我们的预期，但是在每一次模拟之后，我们都会进行反思，从每一次失败中获得教训，不断提升自己。就课程内容而言，ERP模拟演练的课程给了我们一个机会，去体验公司在实际运营中所要遇到的问题，并且通过小组成员通力合作的方式去解决问题。每一个组员都有...""",,,,,,
"8013-同济大学-刘海兰	大学物理2：振动与波动、热学	""概述：物理学是众多自然科学和工程技术的基础，是人类文明的基石。大学物理是以物理学基础为内容的一门课程。由国家级教学团队精心打造的大学物理课程，用生动的语言、有趣的实验、交互的方式及数字化技术，为学习物理、探索科学提供优质的学习平台。来吧，让我们一起感受物理世界的无穷魅力！",,,,,,
"评价：讲得可以说是相当粗略了，只适合拿来作为复习用，初学者听起来必定一头雾水""",,,,,,
"90002-大连海事大学-吴浩峻	船舶电气设备及系统	""概述：茫茫大海，船舶的电能从哪里来？这里，我们将一起探索能量转换的奥秘！加减投切，庞大的电站如何管理？这里，我们将一起领悟理论指导实践的意义！这，是一门集高科技于一身的课程，我们将一起领略先进技术在船舶电气的应用！来吧，以思考为引擎，立智慧为航向，一起探索船舶电气的魅力吧！",,,,,,
"评价：作为行业特色鲜明的电气类课程，MOOC制作起来相对困难，视频和动画与制作人员沟通了近一年，完成后又改进多遍，自2018年开课以来，两次选课人数都在1500人左右，谢谢大家对课程的关爱和支持！同时真心的希望大家多提宝贵意见，课程团队将不断改进完善，争取把《船舶电气设备及系统》建设成为优质课程，更好地为大家服务！""",,,,,,
"35001-西南交通大学-张祖涛	大学生科技创新课程之智慧城市技术与创意大赛	""概述：全国研究生智慧城市技术与创意大赛以“创意启迪智慧、创新驱动发展”为理念，围绕智慧城市激发创新意识，提高研究生创新实践能力，培养创新型人才。本课程通过大赛主题、学生组队、比赛创意、方案设计、作品实现、方案优化、作品展示、网评决赛、国赛答辩、成果保护方面提高大学生科技创新创业能力。",,,,,,
"评价：请问有谁知道这门课什么时候可以发证书啊？""",,,,,,
"9005-哈尔滨工业大学-陈月华	自我塑造：成功五要素	""概述：人活一回，总要做点事情成就点事业，实现自身价值的同时为社会作出贡献。本课程适当借鉴国学智慧，围绕五个成功的核心要素，深入浅出地和你一起探讨如何在这五个着力点上进行自我培养，最大化挖掘和发挥自身潜能，成人成事成功，活出最好的自己！ 本课程获得首批国家级精品在线开放课程。欢迎你来！",,,,,,
"评价：今天认真学习了第一节，通过老师的精彩讲解，反思如下： 1.通过学习，发现老师上课的组织框架非常清晰，从人生为什么需要目标与剧本引入？引出本课内容，然后进行一一阐述； 2.通过学习，学习到了如下内容： 人生需要目标与剧本的原因： 理由一、因为从目标规划与功效的角度看成功，目标和功效之前有一定的因果关系。 知止而后有定，定而后能静，静而后能安，安而后能虑，虑而后能得 理由二：从人生有限角度看成功。 （1） 有剧本的人内心笃定； （2）有剧本的人积极...""",,,,,,
"1001255001-福建师范大学-袁勇麟	文化创意产业	""概述：本课程因应国家政策和社会发展趋势开设，十讲内容涵盖动漫、影视、游戏、广告、文化品牌、创意城市、旅游会展、创意产业园十大模块。每讲包含理论梳理、案例分析、延伸阅读、拓展讨论与作业练习等五部分，遵循“理论解读+案例剖析”的模式，深入浅出说理论，用经典、热点、多类型案例剖析产业发展。",,,,,,
"评价：老师我们的通知晚了一些，但也是我自己的原因没有自己去提前了解截止日期和认证方式，请问老师可以把作业再发布一下么，如果可以的话。万分感激，特别是第一个简述题，蟹蟹老师[T^T]""",,,,,,
"103001-武汉理工大学-刘平峰	XML与电子商务应用	""概述：标准是开放的前提，正如TCP/IP协议标准造就了计算机互连互通的互联网世界，XML标准造就了商务活动主体互连互通的电子商务世界。XML是电子商务实现开放式数据集成和应用集成的核心基础技术，是电子商务业务过程自动化和智能化的奠基石。让我们一起领略XML技术的精髓，体会电子商务应用的魅力。",,,,,,
"评价：传说中的PPT老师，给好评的水军太多""",,,,,,
"35001-西南交通大学-张祖涛	大学生科技创新课程之“互联网+”创新创业大赛	""概述：中国“互联网+”大学生创新创业大赛旨在培养造就“大众创业、万众创新”的生力军，以创新引领创业、创业带动就业，推动高校毕业生更高质量创业就业。本课程通过大赛主题、学生组队、比赛创意、方案设计、作品实现、方案优化、作品展示、网评决赛、国赛答辩、成果保护方面提高大学生科技创新创业能力。",,,,,,
"评价：这门课总体来说结构、内容还是不错的，结构相对比较完整，从背景到公司注册，各个方面都说到了；讲解的很详细，又有实例说明，很容易理解。只是课程组织有点让人摸不着头脑，不知道是平台使用问题，还是什么问题，早早地就显示课程结束。总体来说还是不错的，干货很多。""",,,,,,
"8007-北京理工大学-嵩天	Python网络爬虫与信息提取	""概述：互联网是功能集合，更是存储空间；海量数据孕育巨大价值，数据采集需求迫切。网络爬虫已经成为自动获取互联网数据的主要方式，数据就在那里，它是你的吗？请跟随我们，5周时间，掌握利用Python爬取网络数据并提取信息的""""小""""本领。还等什么？快写个爬虫探索世界吧！",,,,,,
"评价：特别好的一门课，而且PPT做的尤其好，我现在写爬虫，不管是细节用法，实现思路，还是正则写法之类的地方想不起来了，都回来这里翻老师的PPT。比如现在，正准备写一个正则，来这里看看老师总结的东西，然后突然弹出这么个窗口让我评价。。。那我还能怎么说，当然是吼啦！""",,,,,,
"8009-大连理工大学-高菲	现代工程制图（下）	""概述：数字化设计、智能化制造，3D打印技术迅猛发展，引发行业巨变。在新兴和传统制造业并存的时代，本课程在教学设计上考虑行业现状，与时俱进，训练学生正确的构形思维，适应现代设计方法和手段对图样表达的需求，为学生打下适应传统与现代设计和制造所需图学基础。",,,,,,
"评价：体会： 经过这次长达数周的工程制图实践，我们都能较熟练地使用Inventor软件，这应该是我们 最大的收获。在对于我们的项目——柱塞泵查阅资料的同时，我们对于泵体有了更多的了解，也接触到一种通过压强控制液体输送的方法。经过合作，我们的团队意识与合作意识都有锻炼与提升，在整个过程中我们组员间出现过争执，分歧，讨论与互相帮助，这些都是我们宝贵的回忆。同时，我们因为作业中有大量关于零件生产，装配，使用知识的考察。我们对于零件加工，工作时的状况有了一定的了解，...""",,,,,,
"9010-武汉大学-王志勇	物理化学（下）	""概述：物理化学是化学学科的理论基础，对我们身边的化学现象形成了一套完整的理论解释体系。为什么在高原上很难煮熟鸡蛋？怎样才能把石墨变成金刚石？为什么卤水能点豆腐？...国家教学名师汪存信教授领衔的教学团队，将伴随你走进物理化学的世界，用新的观点观察身边的现象，建立属于你自己的化学理论体系。",,,,,,
"评价：下册讲的两个老师对知识点把握明显不如上册的那个老师，完全是在念课本。""",,,,,,
"28001-南京航空航天大学-闻新	航天、人文与艺术	""概述：本课程以生动有趣的方式，探索航天科技及太空探索文化，远离枯燥难懂的高科技理论，旨在为同学们提供一个兼具知识性和趣味性的学习体验。课程内容涵盖航天科技知识、火星移民以及星际文明的探索等前沿话题，并深入探讨中国航天精神，展示其如何与传统文化相结合。 此外，欢迎有兴趣的同学在课堂期间，与老师一同撰写航天科普文章，以及以绘画作品，共同传播太空探索文化和知识。",,,,,,
"评价：挺不错的，收获满满""",,,,,,
"9018-北京师范大学-田光进	环境污染事件与应急响应	""概述：课程针对国内外重大环境污染事件的背景、原因、应急措施、生态恢复、责任追究等进行研讨，对我国环境污染事件的应急管理体系，突发环境事件的预防、预警和准备，环境应急响应，突发环境事件后评估与恢复重建等进行研讨，从而对我国的生态环境问题有更深刻的认识。",,,,,,
"评价：感觉老师讲课平铺直续，精彩度有待遇提高！老师和学生的互动性是单方面的，沟通只能通过讨论区进行，有时间差，效率不高。拙见，仅供参考。""",,,,,,
"8013-同济大学-顾榕	电工学	""概述：电工学是高等学校非电类理工科本科专业的一门技术基础课程，也是“三电”课程中唯一面向非电专业学生的课程。它所涉及的理论和技术内容广泛，包括电路基础、电机与控制和电工测量及安全用电等各部分。并且随着新理论和新技术的出现分别也在不断地丰富其内容。",,,,,,
"评价：老师水平较高，允许的话，请老师讲的再细一些，对于基础较差的，还想学的同学以希望。""",,,,,,
"9007-西安交通大学-朱京平	光电子学（一）	""概述：光电子与微电子共同构成21世纪信息技术两大支柱。课程通用性强，兼顾完整性与新颖性，力图脉络清晰、深入浅出、系统全面地介绍光电子有关双基知识与物理思路。课程以国内最受欢迎的国家级规划教材为蓝本，且信息量更大，更深入浅出、形象生动，自测、演示性实验、总结回顾等环节更利于知识巩固与增强。",,,,,,
"评价：每一小课时间短，方便学习，不过老师讲课太过温柔，还是容易跑偏""",,,,,,
"8005-山东大学-刘东旭	口腔正畸学	""概述：《口腔正畸学》是口腔医学的一门核心专业课程，是研究错合畸形的病因机制、诊断分析及其预防治疗的一门学科。错合畸形已被世界卫生组织列为三大口腔疾患之一，如何深层次理解错合畸形？错颌畸形如何诊断，通过什么方法矫治？带着这些问题，让我们一起走进国家级一流在线本科课程-口腔正畸学（山东大学）。",,,,,,
"评价：老师们精心准备的内容，结合专业最新发展动态，与大家一起分享！""",,,,,,
"67002-中国矿业大学-匡亚莉	选矿厂设计	""概述：“选矿厂设计”是矿物加工工程专业的主干专业课之一，为56学时+2周课程设计。通过该课程的学习，使学生受到全面的工程素质训练，掌握工程基础知识、基本设计方法和原则；通过课程设计和毕业设计，经历系统的工程设计实践，最终使学生能够熟练运用专业知识与技能解决复杂工程问题，具备必要的工程素质。",,,,,,
"评价：非常非常实用，将大学四年专业知识串联起来，搭建了一个完善的知识框架""",,,,,,
"9003-复旦大学-邵红霞	病原生物与人类	""概述：新冠病毒从何而来？ 艾滋病正在离我们远去吗？ 青蒿素的研制缘何能获诺奖？ 白色瘟疫的阴影为何挥之不去？ 如何远离来势汹汹的传染病威胁？ 病毒性肝炎为何被称为沉默的杀手？ 折磨着全球十多亿人口的古老疾病何时休？ 一切尽在“病原生物与人类”课程中， 让我们一起探寻解释，分享感悟，砥砺前行！",,,,,,
"评价：总体来说是很好的，第六期应该是重新录制的视频（所以说2.0版本），而且好像还是第一次将所有PPT上传到平台，邵老师很负责任、有担当，提个建议多选题最好不要设形如“以上都可以”那种有点误导人的选项""",,,,,,
"101001-华北电力大学-赵旭光	生活中的纠纷与解决	""概述：你在生活中遇到过纠纷吗？它会不会造成社会秩序的混乱？面对纠纷，我们如何解决？本课程将从你身边的纠纷入手，介绍纠纷的本质与功能、纠纷解决程序的价值与证据的运用，以及具体的民事纠纷、刑事纠纷、行政纠纷的解决之道。",,,,,,
"评价：课程内容我还是非常认可的，老师讲的清楚明白，让我们这些门外汉了解了不少法律法规常识。 但课程的组织管理、评价、答复、证书的申请都非常让人失望。 讨论区中没有一位老师对课程中的问题进行答复，5月15日已进行期末测试，6月在无任何公告的情况下，发布单元检测。 证书上不写学时，导致我们这边的培训学时证明处不认可已学46学时。 这是我第一次在MOOC课程上学习给评价打1分的。请课程团队不仅要做好课程内容，也要做好课程的管理！""",,,,,,
"117001-中国人民解放军陆军工程大学-俞海英	网络技术与应用实验	""概述：这是一门与国家精品在线开放课程《网络技术与应用》MOOC配套的实验课程，以思科Packet Tracer为实验平台。实验分为两部分，一部分用于帮助学生理解、掌握《网络技术与应用》MOOC教学内容。另一部分是实际网络应用的实施方案。通过课程的学习，可以掌握用思科网络设备设计具体网络的方法和步骤。",,,,,,
"评价：我40岁了，但是自治力不够，老师们非常好，尤其我目前在学的课程，均给了我很多启发，也模仿老师的方法展开自己的教学。谢谢这个平台，希望那天我也能成为一员。""",,,,,,
"9005-哈尔滨工业大学-李雪	新科学家英语：演讲与写作	""概述：你想在国际学术讲坛上分享你的学术观点吗？ 你想在国际学术刊物上全面展示你的科研成果吗？ 加入我们吧！让我们一起学习地道的英语演讲与写作！",,,,,,
"评价：孩子吃的很开兴，已经买了5大箱了""",,,,,,
"9018-北京师范大学-章伟文	中国哲学	""概述：本课程是高等院校本科哲学专业学生必修的专业基础课，以中国哲学发展阶段为基础、学派流变为经线、问题论争为纬线，旨在使学生获得系统的中国哲学史知识，领会中国哲学各时代的继承与创新关系。本课程把教学生做学问与做人结合起来，着力发挥中国哲学仁智一体、知行合一的特色，引导学生追求健全人格。",,,,,,
"评价：我听了章教授的《中国哲学》课程后，收获很大，感悟颇丰。 1． 非常感谢章教授的精心讲课，认真备课！章教授辛苦啦！你辛勤劳动必将结出丰硕成果。 2． 章教授的课条理性强，突出重点，有自己的思想观点。比如最后的总结课程，我看了许多次，慢放记录总结内容。水平高！ 3． 关于课程名称，我建议改为《中国古代哲学概论》为宜。如果不改，那要增加内容，也就是面面俱到。现在很多内容没有讲，比如兵家，阴阳家等。名家虽然讲了，但是蜻蜓点水。公孙龙的哲学与柏拉图，亚里士多德等西方...""",,,,,,
"8013-同济大学-吴天刚	大学物理3：电磁学	""概述：物理学是众多自然科学和工程技术的基础，是人类文明的基石。大学物理是以物理学基础为内容的一门课程。由国家级教学团队精心打造的大学物理课程，用生动的语言、有趣的实验、交互的方式及数字化技术，为学习物理、探索科学提供优质的学习平台。来吧", 让我们一起感受物理世界的无穷魅力！,,,,,
"评价：学校老师教得太差只能跟mooc学，我上大学其实就是花钱来买个学历的吗（流泪猫猫头 讲得真好啊哭哭哭哭""",,,,,,
"48002-西南石油大学-曾德智	钻井与完井工程	""概述：本课程主要讲述钻井和完井技术现状与发展趋势、钻井和完井工程的基本工艺原理及工艺技术；详细介绍一口井建井全过程、钻井与完井过程中从设计到施工的系统知识；培养学员识别、分析和解决钻井与完井领域复杂工程问题的能力。",,,,,,
"评价：一流课程支撑一流专业，一流专业支撑一流学科，建设金课！""",,,,,,
"8003-上海交通大学-王会儒	循序渐进练瑜伽	""概述：瑜伽运动能够健美形体，缓解压力，培养优雅气质，深受大众喜爱。但与此同时",因练习瑜伽不当而导致损伤的事件也时有发生，因此瑜伽练习不能盲目。本课程旨在指导学习者循序渐进、安全有效地练习瑜伽，在瑜伽锻炼的过程中享受乐趣，增强体质，促进身心全面发展。,,,,,
"评价：强烈推荐！在学校里有上过王会儒老师的瑜伽课，教的非常好！终于出慕课了，开心""",,,,,,
"53001-南京师范大学-王刚	形势与政策	""概述：南京师范大学“形势与政策”MOOC是线上国家级一流本科课程和线上线下混合式国家级一流本科课程。本课程自2017年3月上线以来，已完整开设十一季，累计选课人数超过70万人次，学习者来自国内百余所高校。 2024年春季学期，课程团队将一如既往地按照上级及主管部门相关要求，开足开好“形势与政策”课，第一时间推动党的理论创新成果进教材进课堂进学生头脑，帮助大学生正确认识新时代国内外形势，引导大学生准确理解党的基本理论、基本路线、基本方略。",,,,,,
"评价：看完后，我的心久久不能平静!构思新颖，题材独具匠心，段落清晰，情节诡异，跌宕起伏，主线分明，引人入胜，平淡中显示出不凡的文学功底，可谓是字字珠玑，句句经典，是我辈应学习之典范。就小说艺术的角度而言，可能不算太成功，但它的实验意义却远大于成功本身。一马奔腾，射雕引弓，天地在我心中!您不愧为无厘头界新一代开山怪!是你让我的心里重燃起希望之火，这是难得一见的好说! 苍天有眼，让我在有生之年能观得如此精彩说说!真如""""大音希声扫阴翳""""，犹如""""拨开云雾见青天""""，使我等...""",,,,,,
"1202977801-南方医科大学-彭鸿娟	寄生人体的恶魔—医学寄生虫学	""概述：寄生虫肉眼可见或不可见，可以是嗜血的昆虫蜱虫，致命的蠕虫原虫；可以潜伏人体、劫持人体免疫系统并伺机爆发、甚至调控人类情绪，它们是寄生人体的恶魔。本课程讲授人体常见寄生虫的形态、生活史、致病机制、诊断方法、流行规律与防治原则等专业知识，宣传寄生虫病诊防治方法，为大众健康保驾护航。",,,,,,
"评价：事情太多了 我们一群非专业的学生 这个课又难事情又多 互评乱七八糟的搞得人时不时又要跑上来看 学校的线下选修课都没这么麻烦 隔壁针灸的也没有 看视频做题就完事了 互评真的麻烦 就算要 互评一下就算了 能不能时间统一一次互评完 我们期末事情很多的好吗 非得作业交完一次互评一次？还卡时间段我们记得住这么多时间吗？无语 一个选修课搞这么多花里胡哨的做什么？你知道最后一次互评我们期末考试都考完了？能不能给我们个机会？？？？ （课程本身没有问题 视频也很好 是这个评...""",,,,,,
"9012-重庆大学-龚劬	数学实验	""概述：既要瘦身，又要身体健康，膳食如何搭配？买手机选择分期付款还是一次性付款？……。该课程将引导你学习和应用功能强大的科学计算软件MATLAB和微分方程、插值、拟合、优化、统计、图论等数学建模知识，提高学习者运用数学知识同时借助于软件工具分析和解决实际问题的能力，培养创新意识和创新能力。",,,,,,
"评价：第一周的课很赞！希望我可以坚持下来。""",,,,,,
"1001195001-暨南大学-于沛	生物医药实验室安全知识	""概述：本课程通过大量视频资料和实际案例，系统地介绍了生物医药实验室的安全隐患、安全防范措施以及事故发生救助方法，旨在提高学习者的实验室安全防范意识，加强安全防范措施，有效防范安全事故发生或和降低安全事故危害。 本课程可作为高等院校、科研院所以及相关企事业单位实验室的安全知识培训课程。",,,,,,
"评价：我说我在实验室干过很多不安全的事情你敢信？？？""",,,,,,
"9005-哈尔滨工业大学-徐晓飞	软件工程专业导论	""概述：软件工程是研究或应用工程化方法创造、构建和维护高质量软件的学科。本课程以软件工程概念、问题、思维、理论与技术为主线，深入浅出地介绍了软件工程学科与知识体系、计算思维、程序与算法、软件系统构造、软件需求、软件设计、软件工程技术、软件管理等内容；还介绍了软件工程课程体系及其学习方法。",,,,,,
"评价：我感觉这门课有点高深了？作为一名大一学生，我感觉课程泛泛而谈，很多东西我都不知道，学的很累，学完课程好像没收获什么。""",,,,,,
"102001-浙江财经大学-王俊豪	产业经济学	""概述：产业经济学理论是政府产业规划、企业战略设计和个人投融资决策的必备基础知识。《产业经济学》课程将带你深入了解产业经济发展的微观机制、产业结构优化升级的内在规律和产业政策体系的现实影响，系统掌握产业经济理论及其实践应用，形成对产业经济问题的浓厚兴趣与较强的实际分析能力。",,,,,,
"评价：老师，课程为啥关闭了呢？还没学完呢啊""",,,,,,
"9010-武汉大学-彭国军	软件安全之恶意代码机理与防护	""概述：本课程系统性和实践性强，适用于信息安全专业本科生高年级学习。主要内容由软件安全基础知识、恶意软件机理分析，及恶意软件防护技术等组成。课程有利于学生进一步理解恶意软件安全威胁的实现机理及软件安全博弈对抗机制， 提升学生的实践创新能力。 该课程入选2018年国家精品在线开放课程，2020年被认定为国家级一流本科课程（线上一流课程）。",,,,,,
"评价：课程相对而言比较简单明了，比较喜欢老师的教学风格，用问题去引导学员， 建议大家在看视频，遇到老师提问的时候，暂停下来，每个问题自己先写一个答案，然后在继续观看视频。""",,,,,,
"8013-同济大学-刘滨谊	风景园林景观规划设计基本原理	""概述：亲爱的同学们，风景园林景观规划设计基本原理定于2024年9月30日开课，欢迎同学们参与学习，多多进行交流互动！（请注意，该课程已取消免费证书）",,,,,,
"评价：老师讲的好棒！我只是想了解，听了您的课，很感兴趣。真的想深入研究了。不过在讲案例图片时我们看视频的看不到你所指的具体位置，只能靠猜，不知道能不能完善""",,,,,,
"6001-浙江大学-舒守娟	天气学	""概述：",,,,,,
"评价：感谢大家的支持！我们后面继续努力，争取把课程建设的更好。""",,,,,,
"8006-湖南大学-郭栋才	基础化学实验（分析化学）	""概述：欢迎各位学员学习《基础化学实验(分析化学)》这门课程！课程教学内容由化学分析实验和仪器分析实验两部分组成，着重培养学员扎实的实验操作能力，严谨的科学作风、实事求是的科学态度以及开拓创新的思维能力。 在此祝各位学员学习愉快，有所收获！ 《基础化学实验（分析化学）》MOOC团队",,,,,,
"评价：提前了解实验操作和原理，首获很多""",,,,,,
"8006-湖南大学-郭栋才	基础化学实验(无机化学)	""概述：欢迎各位学员学习《基础化学实验(无机化学)》这门课程！无机化学实验课程以实验技能训练为主，着重培养学员规范的基本操作，严谨的科学作风、实事求是的科学态度以及开拓创新的思维能力。 在此祝各位学员学习愉快，有所收获！ 《基础化学实验（ 无机化学）》MOOC团队",,,,,,
"评价：挺好的一门课""",,,,,,
"107001-南京邮电大学-王娟	战略管理	""概述：夫未战而庙算胜者，得算多也；未战而庙算不胜者，得算少也。多算胜，少算不胜，而况于无算乎！吾以此观之，胜负见矣。战略管理是工商管理类专业的一门核心课程，是经济管理类专业的一门重要课程。通过本课程的学习，对战略与战略管理的基本概念、特征、理论、分析思路和方法有较全面而深入的认识。",,,,,,
"评价：王娟老师课不仅讲的好 而且美丽又温柔""",,,,,,
"35001-西南交通大学-罗大兵	大学生科技创新课程之中美青年创客大赛	""概述：中美青年创客大赛结合创新理念，打造具有社会和产业价值的全新产品，营造中国青年创客的创新社区与众创空间环境，加强中美两国青年文化交流与沟通。本课程通过大赛主题、学生组队、比赛创意、方案设计、作品实现、方案优化、作品展示、网评决赛、国赛答辩、成果保护方面提高大学生科技创新创业能力。",,,,,,
"评价：之前在学校就参加过校里组织的创新比赛，那时候也是抱着一点点好奇的心态参与，结果一不小心入围的校决赛，就觉得，其实创新比赛对于培养能力还是很有用的。通过本课程的学习，感觉这个比赛其实很有讲究，比如找队友，分配工作，确定命题，这都需要队长还有队友的默契配合，也让我感到，创新对于一个人的能力培养是很有影响的。谢谢老师们的辛勤耕作。""",,,,,,
"35001-西南交通大学-肖平	工程伦理学	""概述：课程立足有工程专业背景的学生，努力做到通俗易懂。 工程的现场性决定了课程主要采用案例教学方法。课程搜集到大量国内外经典工程案例，以PPT或视频形式呈现，可视性强。 本课程注重实践，要求学习者参与实践活动，课程呈现了学生作业样板。学生有创造空间，创新有奖。",,,,,,
"评价：工程伦理学内容非常的实用，对于道德伦理、人际关系、价值的实践，在科学的道德判断上都有实质性的效果。这使让自己在日常生活中，学会在德行水平上用道德，在学科上用伦理，做出实质性的问题判断。""",,,,,,
